varname,vlabel,mean_full,std_full,grids_full,periods_full,mean_urban,std_urban,grids_urban,periods_urban,mean_uv,std_uv,grids_uv,periods_uv,mean_center,std_center,grids_center,periods_center,mean_periph,std_periph,grids_periph,periods_periph
us_tariff_exposure_4,us_tariff_exposure_4,0.029479705117990685,0.016381628495230123,2741736,12,0.024453482438192918,0.007802955257342947,487216,12,0.025478183949821032,0.009673322998881415,156741,12,0.024597365208900747,0.008062345592638428,99823,12,0.027022967132204236,0.01182942983070592,56918,12
pop,pop,19.101886135571988,50.674063779677184,2742446,12,54.35557972239305,94.38044513669222,487390,12,59.188573875737944,79.28280044631664,156764,12,72.76026055718083,90.59573849491323,99827,12,35.393488670188106,45.023351142780626,56937,12
crime_rate_100k,crime_rate_100k,15.782248051597648,1520.1611420012064,2742446,12,30.400764247587144,1999.8329300683276,487390,12,59.25888779952297,2695.4626521267105,156764,12,59.12950337739543,1358.3864035230558,99827,12,59.485736047722334,4094.9821687472327,56937,12
pct_urban_village,pct_urban_village,2.8101873291215216,14.18748327106958,2742446,12,0.0,0.0,487390,12,49.161714424230055,35.25017694961472,156764,12,51.796237490859184,35.46731173795574,99827,12,44.54263484201837,34.38237718457486,56937,12
pre_avg_list_unit_price,pre_avg_list_unit_price,22006.33280567909,16640.751907371203,2742446,12,22665.57171556043,16472.566260480566,487390,12,23999.479750714465,21048.294704675995,156764,12,23708.588544071248,23651.768687349097,99827,12,24509.49602283227,15446.114930057944,56937,12
pre_avg_deal_unit_price,pre_avg_deal_unit_price,21166.42936003533,13659.116492337227,2742446,12,21440.813776721516,9441.973103657832,487390,12,22330.188916554158,11187.875047303482,156764,12,21762.95513225881,9561.186053886915,99827,12,23324.71351365018,13520.089278756925,56937,12
pre_avg_price_gap,pre_avg_price_gap,928.9120338767925,7287.231036489236,2742446,12,1155.474294148644,13760.565895487634,487390,12,1497.4534109876713,18064.706218138577,156764,12,1827.5133739694616,22620.627040774743,99827,12,918.7630001022479,905.3209760351263,56937,12
dist_to_bus_m,dist_to_bus_m,21854.50647155629,25800.033641023623,2742446,12,5198.427502440106,4806.056876404986,487390,12,7134.018432518737,7176.147990820367,156764,12,5625.248188774297,5146.584484366945,99827,12,9779.328285905414,9184.640188581852,56937,12
dist_to_metro_m,dist_to_metro_m,59742.43115145392,40029.96841913638,2742446,12,20486.484283233814,16270.685679678698,413698,12,20355.535861031523,15476.474690973419,115036,12,19140.06884697251,15838.712175257699,82510,12,23438.859458461535,14053.153041979394,32526,12
dist_to_edu_pre_m,dist_to_edu_pre_m,2867.6386129201346,2961.7090933495633,2742446,12,939.5020537890904,723.6165452709296,487390,12,647.2370404337877,738.5586679572075,156764,12,484.66901823615444,454.65795428530186,99827,12,932.2657204120642,1005.8958290073139,56937,12
dist_to_edu_primary_m,dist_to_edu_primary_m,1897.5679805543052,1709.5852486226886,2742446,12,1201.1180081899183,774.7188709613617,487390,12,811.5749220079778,654.2943872945905,156764,12,723.6239600023381,559.1381323415324,99827,12,965.7783518363331,770.197901178063,56937,12
dist_to_edu_secondary_m,dist_to_edu_secondary_m,2921.8974195834294,2284.3632644675063,2742446,12,1591.2655910858593,1079.3908960544402,487390,12,1357.2970304135765,1032.7815715138395,156764,12,1195.9206416402153,884.7503626850172,99827,12,1640.2364329475765,1199.4175030839685,56937,12
dist_to_edu_higher_m,dist_to_edu_higher_m,13850.939376179038,15406.160530378007,2742446,12,3500.6039415202745,2650.5308741371455,487390,12,4155.686950789233,3634.3802363356435,156764,12,3108.1481577398918,2344.219522775386,99827,12,5992.324903153009,4629.823835055702,56937,12
dist_to_edu_vocational_m,dist_to_edu_vocational_m,8135.830845928,8141.005278752227,2742446,12,2526.430776031196,1826.386723475342,487390,12,2735.568988285442,2442.8363678709648,156764,12,2123.9931801695784,1573.8854250526256,99827,12,3807.837955684183,3206.4744803681415,56937,12
dist_to_basic_healthcare_m,dist_to_basic_healthcare_m,1613.009907661578,1415.1081862531612,2742446,12,737.618279565867,549.6328217252219,487390,12,461.4791093690302,451.82248942275925,156764,12,373.7668322455332,328.00006258953414,99827,12,615.2640556852622,579.9152036663144,56937,12
dist_to_mid_healthcare_m,dist_to_mid_healthcare_m,4272.414721974477,4215.643827852923,2742446,12,1756.7641025351627,1314.54665729787,487390,12,1542.2048584365577,1380.1297031367199,156764,12,1288.2770250835238,1102.1532422180192,99827,12,1987.4136650145908,1674.3039985681962,56937,12
dist_to_adv_healthcare_m,dist_to_adv_healthcare_m,11049.706800722115,10904.109415617922,2742446,12,3440.9061318450986,2202.143218289575,487390,12,4193.076045658914,4546.8593170851955,156764,12,2985.4835085009095,2118.457985378278,99827,12,6310.334422582039,6481.759572271071,56937,12
dist_to_sme_bank_m,dist_to_sme_bank_m,2313.4646209337343,2089.4778028817987,2742446,12,811.4655316742733,626.2203067112044,487390,12,581.4503544556086,588.4614265300423,156764,12,455.50502625686266,386.4965425287369,99827,12,802.268878053554,784.1876498001856,56937,12
dist_to_joint_stock_bank_m,dist_to_joint_stock_bank_m,18566.607614788965,24166.441648689026,2742446,12,2909.620549760077,2314.999526737747,487390,12,4196.607889556802,5095.4102278936,156764,12,2482.858222526353,2078.6942938111997,99827,12,7201.305854160637,7052.005579681937,56937,12
dist_to_state_owned_bank_m,dist_to_state_owned_bank_m,3365.5758970842735,2823.4989985773936,2742446,12,1526.9522402227774,1179.926887820504,487390,12,1280.5659081874505,1164.300769437337,156764,12,1059.562265108031,898.1850646128049,99827,12,1668.0491032572518,1442.9579620929842,56937,12
