"sample","yblock","ycat","moderator","b_triple","se_triple","p_triple","N_model","rc"
"uv_urban","merged4","cat_property","entropy","-.4999193747142257",".20460381",".014551486","896112","0"
"uv_urban","merged4","cat_violent","entropy","-.5955898914637764",".41089201",".14719671","896112","0"
"uv_urban","merged4","cat_corporate","entropy",".0370547110578085",".27911538",".89438504","896112","0"
"uv_urban","merged4","cat_underground","entropy",".025593998088227",".16415289",".87609953","896112","0"
"uv_nonurban","merged4","cat_property","entropy",".0535875947732808",".22115318",".80854011","467568","0"
"uv_nonurban","merged4","cat_violent","entropy",".3682876973173086",".2429273",".12950903","467568","0"
"uv_nonurban","merged4","cat_corporate","entropy",".0216566340085412",".46866676",".96314365","467568","0"
"uv_nonurban","merged4","cat_underground","entropy",".3736507620084599",".34316173",".27622119","467568","0"
"uv_all","merged4","cat_property","entropy","-.0010839909859849",".20882815",".99585831","1363680","0"
"uv_all","merged4","cat_violent","entropy",".0269463549518037",".26447037",".91884559","1363680","0"
"uv_all","merged4","cat_corporate","entropy",".0994004834030325",".12516883",".42711902","1363680","0"
"uv_all","merged4","cat_underground","entropy",".1821510070374638",".20219946",".36766908","1363680","0"
"uv_urban","totalcrime","all","entropy","-.3092726582958952",".17045146",".069611192","896112","0"
"uv_nonurban","totalcrime","all","entropy",".0071760435853429",".22584201",".97465181","467568","0"
"uv_urban","merged4","cat_property","restdens","-.0800195398126118",".23335767",".73166984","896112","0"
"uv_urban","merged4","cat_violent","restdens","-.1431841181173697",".17620954",".41645965","896112","0"
"uv_urban","merged4","cat_corporate","restdens","-.767443750792019",".57039434",".17847618","896112","0"
"uv_urban","merged4","cat_underground","restdens",".1254289072108078",".10660185",".23935083","896112","0"
"uv_nonurban","merged4","cat_property","restdens","-.6875431694131015",".42867997",".10874464","467568","0"
"uv_nonurban","merged4","cat_violent","restdens","-1.160268715373389",".48581403",".016926611","467568","0"
"uv_nonurban","merged4","cat_corporate","restdens","1.16654206712576","1.3293446",".38019788","467568","0"
"uv_nonurban","merged4","cat_underground","restdens","-.267855192190842",".20032987",".18119957","467568","0"
"uv_all","merged4","cat_property","restdens","-.0647752017995244",".095837899",".49911496","1363680","0"
"uv_all","merged4","cat_violent","restdens","-.1354096022075907",".15302062",".37620473","1363680","0"
"uv_all","merged4","cat_corporate","restdens","-.4115005426482819",".4534806",".36418101","1363680","0"
"uv_all","merged4","cat_underground","restdens",".0269497789523704",".05003209",".59012848","1363680","0"
"uv_urban","totalcrime","all","restdens","-.0102700606361394",".084684424",".90347362","896112","0"
"uv_nonurban","totalcrime","all","restdens","-.6237416758898605",".3219375",".052688897","467568","0"
